t_ps,Te_1p0mW,Tl_1p0mW,Ts_1p0mW,Te_2p0mW,Tl_2p0mW,Ts_2p0mW,Te_2p5mW,Tl_2p5mW,Ts_2p5mW,Te_3p0mW,Tl_3p0mW,Ts_3p0mW,Te_3p5mW,Tl_3p5mW,Ts_3p5mW,Te_4p0mW,Tl_4p0mW,Ts_4p0mW
71.5,8.958962599075697,10.706546193841202,7.753978269607214,14.855551574856033,19.514370355979676,10.564097198544115,17.06193460462408,21.61271034254454,11.915966848355211,19.114150930233752,23.25604561804968,13.128949323880915,21.5417417138274,25.24500671014043,14.231475453450328,25.53139264644255,27.863609004910945,18.220228991081225
71.75,8.935295668272738,10.647365330052745,7.753696902165714,14.838331194591218,19.473654732961727,10.564614426306424,17.04398241807683,21.572552541575504,11.91656571996641,19.094693669830722,23.215774395340677,13.129319005308284,21.521966293316055,25.206629434109875,14.231652852144542,25.515606622045745,27.833397909348395,18.235203151421672
72.0,8.91170100421922,10.588443806672961,7.753398403331546,14.82107706224508,19.432946441805313,10.5651195597983,17.025989040795753,21.532414829227715,11.917151281500066,19.07518595278586,23.175534149023953,13.129675207289493,21.502125263467157,25.16828912803176,14.23181744345195,25.49974240795644,27.803241753661688,18.250052053755812
72.25,8.888184686794963,10.529796654805171,7.753082860750471,14.80378946548534,19.392245540779257,10.565612612883271,17.007954899342174,21.492297249419902,11.91772355211458,19.055628375376763,23.13532490345512,13.130017956352802,21.482219451569026,25.129985720496364,14.231969271133076,25.48380183656908,27.77314022894862,18.26477690427123
72.5,8.864752957844464,10.471439160896951,7.752750366316289,14.786468693188962,19.35155209673336,10.566093599393133,16.989880417096565,21.452199851089134,11.91828255094839,19.03602153127859,23.09514667599872,13.13034727893919,21.462249678661347,25.09171914249546,14.23210837862367,25.467786707926248,27.743093033323213,18.27937888588791
72.75,8.84141217817227,10.413386800261932,7.752401016242108,14.769115035807333,19.310866185304032,10.566562533130623,16.971766015044707,21.412122688484953,11.918828297121072,19.016366009838375,23.05499947191329,13.130663201400914,21.442216759695317,25.0534893274377,14.232234809037593,25.451698790208418,27.713099871804857,18.293859158810776
73.0,8.818168836897643,10.355655451311007,7.752034911143891,14.751728785663044,19.270187891124515,10.567019427872228,16.953612112401597,21.372065821260286,11.919360809734625,18.99666239573984,23.014883299191645,13.13096575000185,21.42212150367681,25.01529621116442,14.232348605169744,25.43553982022342,27.683160456148478,18.30821886107406
73.25,8.795029572207744,10.298261395020065,7.751652156144804,14.734310237193931,19.22951730771904,10.56746429737106,16.935419127108798,21.332029314564767,11.919880107874867,18.976911269548495,22.97479816987098,13.13125495091945,21.40196471379527,24.977139731965686,14.232449809498943,25.41931150389433,27.653274504678947,18.32245910907685
73.5,8.772001168811464,10.241221157076701,7.751252860975576,14.716859686196823,19.188854519181895,10.567897155358773,16.91718747623466,21.292013239140157,11.920386210612977,18.9571132081863,22.934744100084032,13.131530830246822,21.38174718754057,24.939019830596788,14.232538464190851,25.403015516745473,27.62344174212949,18.336580998109397
73.75,8.749090512279958,10.184551354872001,7.750837140033706,14.699377426182712,19.14819958970232,10.568318015543445,16.898917576299944,21.25201767141774,11.920879137007105,18.93726878532841,22.894721110111586,13.131793413994894,21.36146971680984,24.900936450294918,14.232614611100866,25.38665350438565,27.593661899484175,18.3505856028696
