dataset,fluence_ratio,t_ps,y_exp,sigma,y_fit_raw,y_fit,residual_raw,residual,offset_mask,offset_pre0,offset_npts,offset_apply_to,u_m_chi2q,u_raw_m_chi2q,m,eta,phi,chi2q,Te,Ts,Tl,A_obs,B_obs,readout_source,dt_i_ps,sigma_irf_ps,y_column
deltak12k_2p0mW.csv,2.0,79.0,0.027149889,,0.027465723801662588,0.027465723801662588,0.00031583480166258796,0.00031583480166258796,0,0.0032128904186332265,4,pre0_only,0.18863686080498512,0.18863686080498512,0.5740729202224423,0.9444713058976102,0.167407210691602,0.3285939018546493,14.313656698197931,10.564124096138114,18.289319849762585,0.10395531901768315,0.007855918758186071,json_best_local_params,0.5146593205424301,0.2,delta_k
deltak12k_2p0mW.csv,2.0,84.0,0.02622088,,0.027219726291147966,0.027219726291147966,0.000998846291147968,0.000998846291147968,0,0.0032128904186332265,4,pre0_only,0.18627048347250078,0.18627048347250078,0.5694176101664328,0.9449812295537534,0.16662955444833624,0.3271245569979062,13.947258170550962,10.565193497945508,17.482082662306357,0.10395531901768315,0.007855918758186071,json_best_local_params,0.5146593205424301,0.2,delta_k
deltak12k_2p0mW.csv,2.0,89.0,0.026272153,,0.027001381115095986,0.027001381115095986,0.0007292281150959867,0.0007292281150959867,0,0.0032128904186332265,4,pre0_only,0.18417010825250038,0.18417010825250038,0.5654890983752024,0.9454790706808653,0.165866938988162,0.3256828624666136,13.573510615823778,10.56169373328864,16.681480539376153,0.10395531901768315,0.007855918758186071,json_best_local_params,0.5146593205424301,0.2,delta_k
deltak12k_2p0mW.csv,2.0,94.0,0.026124238,,0.026808307957837382,0.026808307957837382,0.0006840699578373813,0.0006840699578373813,0,0.0032128904186332265,4,pre0_only,0.18231283765698844,0.18231283765698844,0.5622181968057417,0.9459631411253776,0.16512216612968325,0.32427416738341786,13.195612331912388,10.553748396777891,15.891179465466637,0.10395531901768315,0.007855918758186071,json_best_local_params,0.5146593205424301,0.2,delta_k
deltak12k_2p0mW.csv,2.0,99.0,0.027232468,,0.02663843786234584,0.02663843786234584,-0.0005940301376541578,-0.0005940301376541578,0,0.0032128904186332265,4,pre0_only,0.1806787693178528,0.1806787693178528,0.5595450040487845,0.9464320590233839,0.16439760749552923,0.3229030158619737,12.817516749563259,10.541501720720234,15.116704645908849,0.10395531901768315,0.007855918758186071,json_best_local_params,0.5146593205424301,0.2,delta_k
deltak12k_2p0mW.csv,2.0,104.0,0.027332979,,0.026489942240809285,0.026489942240809285,-0.0008430367591907156,-0.0008430367591907156,0,0.0032128904186332265,4,pre0_only,0.1792503131028197,0.1792503131028197,0.5574171767975241,0.9468847904939858,0.16369512767337965,0.3215729987594739,12.444177564883041,10.52513004144061,14.365855607691106,0.10395531901768315,0.007855918758186071,json_best_local_params,0.5146593205424301,0.2,delta_k
deltak12k_2p5mW.csv,2.5,-16.0,0.041049604,,0.03642928480380378,0.04123858047535438,-0.004620319196196224,0.00018897647535437434,1,0.0048092956715506,4,pre0_only,0.28518802101698076,0.28518802101698076,0.8206570849183368,0.9376756094969236,0.17745810590298702,0.3475118003098209,4.897829234600067,4.897829234600067,4.897829234600067,0.07016696090908581,0.01641850808136575,json_best_local_params,0.5146593205424301,0.2,delta_k
deltak12k_2p5mW.csv,2.5,-11.0,0.041523829,,0.036429751566894666,0.041239047238445264,-0.005094077433105332,-0.0002847817615547338,1,0.0048092956715506,4,pre0_only,0.2851946731946558,0.2851946731946558,0.8206746144437027,0.9376753563972232,0.17745847006249402,0.3475124832367041,4.890671818090261,4.892360565416683,4.8891833603356485,0.07016696090908581,0.01641850808136575,json_best_local_params,0.5146593205424301,0.2,delta_k
deltak12k_2p5mW.csv,2.5,-6.0,0.041234067,,0.036431059881832345,0.04124035555338294,-0.004803007118167654,6.288553382943762e-06,1,0.0048092956715506,4,pre0_only,0.2852133189350546,0.2852133189350546,0.8207234651431105,0.9376746024999226,0.17745955476467076,0.34751451743288664,4.88521721331409,4.886919452739817,4.883701267220051,0.07016696090908581,0.01641850808136575,json_best_local_params,0.5146593205424301,0.2,delta_k
deltak12k_2p5mW.csv,2.5,-1.0,0.041152865,,0.03643308606126681,0.041242381732817406,-0.004719778938733189,8.951673281740874e-05,1,0.0048092956715506,4,pre0_only,0.2852421954804858,0.2852421954804858,0.8207986204951709,0.9376733567425283,0.17746134713780506,0.3475178787561863,4.879823122671738,4.8815114572400935,4.878320984429454,0.07016696090908581,0.01641850808136575,json_best_local_params,0.5146593205424301,0.2,delta_k
